gender,name,nationality,popularity,split
male,Badu,african,0,train
male,Kibo,african,0,train
male,Danladi,african,0,train
male,Akinyele,african,0,train
male,Bandele,african,0,train
male,Cowry,african,0,train
male,Chinua,african,0,train
male,Abiola,african,4193,train
male,Chimaijem,african,0,train
male,Danjuma,african,0,train
male,Balarabe,african,0,train
male,Akinwunmi,african,0,train
male,Ayomide,african,4832,train
male,Danlami,african,0,train
male,Chijioke,african,0,train
male,Adelaja,african,0,train
male,Chike,african,0,train
male,Danasabe,african,0,train
male,Chileogu,african,0,train
male,Dubaku,african,0,train
male,Awotwi,african,0,train
male,Bakari,african,5578,train
male,Afro,african,0,train
male,Chukwubuikem,african,0,train
male,Akrong,african,0,train
male,Ayo,african,0,train
male,Bomani,african,0,train
male,Babatunde,african,5447,train
male,Bahati,african,0,val
male,Akinlabi,african,0,val
male,Asong,african,0,val
male,Amazu,african,0,val
male,Chineze,african,0,val
male,Akintunde,african,0,val
male,Baako,african,0,test
male,Botwe,african,0,test
male,Adeleke,african,0,test
male,Chinelo,african,0,test
male,Chima,african,5643,test
male,Babafemi,african,0,test
male,Chi,african,5545,test
female,Ameng,african,0,train
female,Anecky,african,0,train
female,Dipuo,african,0,train
female,Akuwa,african,0,train
female,Assibi,african,0,train
female,Alaba,african,0,train
female,Adefunmike,african,0,train
female,Anika,african,959,train
female,Akua,african,5578,train
female,Asaye,african,0,train
female,Chinecherem,african,0,train
female,Ayodele,african,5447,train
female,Shaka,african,5441,train
female,Kenya,african,1233,train
female,Chinagorom,african,0,train
female,Dada,african,0,train
female,Babafunmike,african,0,train
female,Anaca,african,0,train
female,Baduwa,african,0,train
female,Ayana,african,1641,train
female,Ebuka,african,0,train
female,Eshe,african,0,train
female,Kesia,african,4935,train
female,Balaraba,african,0,train
female,Esi,african,0,train
female,Jahzara,african,3507,train
female,Echerem,african,0,train
female,Dipuonyane,african,0,train
female,Anuli,african,0,train
female,Deka,african,0,train
female,Chioma,african,4387,train
female,Mandisa,african,5549,train
female,Abidemi,african,0,val
female,Bosede,african,0,val
female,Aunika,african,5578,val
female,Chidi,african,5076,val
female,Chukwuebuka,african,5466,val
female,Awushi,african,0,val
